name,location
虹桥火车站,"121.318910,31.193987"
上海火车站,"121.457939,31.249632"
顾村公园,"121.373009,31.344594"
徐泾东,"121.299204,31.188367"
五角场,"121.514632,31.298043"
上海南站,"121.430041,31.154579"
美兰湖,"121.349966,31.401949"
徐家汇,"121.436837,31.195338"
虹口足球场,"121.479154,31.271392"
人民广场,"121.475137,31.232781"
嘉定北,"121.237350,31.391549"
九亭,"121.319423,31.137252"
中山公园,"121.415773,31.217948"
桃浦新村,"121.349623,31.281603"
安亭,"121.161985,31.288490"
松江大学城,"121.232577,31.053984"
龙阳路,"121.557634,31.203575"
长寿路,"121.438272,31.240860"
金沙江路,"121.413150,31.232004"
大世界,"121.479326,31.227182"
新闸路,"121.468151,31.238373"
黄陂南路,"121.473306,31.222745"
自然博物馆,"121.462366,31.236451"
曲阜路,"121.471543,31.242307"
南京西路,"121.459971,31.229853"
南京东路,"121.484628,31.238101"
豫园,"121.487473,31.227801"
淮海中路,"121.464514,31.220280"
天潼路,"121.482473,31.243829"
新天地,"121.475182,31.216367"
汉中路,"121.458699,31.241883"
老西门,"121.483793,31.219014"
潍坊路,"121.517888,31.223206"
宝山路,"121.476298,31.251523"
陕西南路,"121.458744,31.215150"
中兴路,"121.469026,31.253228"
马当路,"121.477256,31.209520"
水电路,"121.472016,31.278921"
四川北路,"121.484208,31.252035"
陆家浜路,"121.486115,31.211789"
南码头路,"121.507091,31.193104"
静安寺,"121.446221,31.223083"
打浦桥,"121.468681,31.206309"
昌平路,"121.442617,31.233749"
陆家嘴,"121.502262,31.238195"
小南门,"121.498398,31.216866"
江宁路,"121.444830,31.244282"
常熟路,"121.449141,31.213524"
国际客运中心,"121.498158,31.250160"
东宝兴路,"121.480202,31.259886"
中山北路,"121.459204,31.258891"
嘉善路,"121.460704,31.202820"
古宜路,"121.426978,31.186912"
海伦路,"121.488697,31.259303"
武定路,"121.436486,31.227030"
广粤路,"121.466949,31.292171"
西藏北路,"121.468769,31.263505"
鲁班路,"121.475148,31.199221"
南浦大桥,"121.499725,31.208504"
西藏南路,"121.489555,31.201967"
上海图书馆,"121.444363,31.207960"
浦东南路,"121.511824,31.238385"
世博会博物馆,"121.481592,31.197572"
衡山路,"121.446424,31.204528"
中潭路,"121.441001,31.254568"
武宁路,"121.430504,31.234346"
提篮桥,"121.506801,31.253518"
东昌路,"121.515556,31.233270"
商城路,"121.516275,31.230258"
肇嘉浜路,"121.450212,31.199436"
江苏路,"121.430642,31.220411"
临平路,"121.500696,31.260874"
大木桥路,"121.463278,31.194057"
镇坪路,"121.429779,31.246369"
丰镇路,"121.467575,31.304892"
浦东大道,"121.519385,31.239974"
前滩,"121.475838,31.156120"
邮电新村,"121.494362,31.268533"
古北新城,"121.402963,31.184270"
隆德路,"121.423576,31.230509"
延长路,"121.455329,31.271675"
龙水南路,"121.456923,31.154285"
杨树浦路,"121.517210,31.251935"
大连路,"121.513088,31.257938"
东安路,"121.454897,31.190819"
交通大学,"121.435253,31.202213"
塘桥,"121.518690,31.209762"
保德路,"121.468353,31.315500"
前滩南,"121.475639,31.147373"
世纪大道,"121.527213,31.228682"
曲阳路,"121.491138,31.276524"
曹杨路,"121.417701,31.239302"
龙华中路,"121.457054,31.183843"
四平路,"121.501488,31.274880"
中华艺术宫,"121.493626,31.185242"
岚皋路,"121.421939,31.256198"
世博大道,"121.484313,31.182789"
源深路,"121.530053,31.241076"
赤峰路,"121.482429,31.281247"
蓝村路,"121.527627,31.211672"
虹桥镇,"121.385950,31.176925"
上海马戏城,"121.452023,31.279895"
鞍山新村,"121.509685,31.273242"
龙瑞路,"121.451742,31.139365"
延安西路,"121.417062,31.209616"
上海体育场,"121.443529,31.185605"
江杨南路,"121.467567,31.326193"
中宁路,"121.412843,31.246186"
源深体育中心,"121.534642,31.233004"
枫桥路,"121.411402,31.241850"
新村路,"121.422682,31.263952"
平凉路,"121.526916,31.258683"
临沂新村,"121.516695,31.193202"
江浦公园,"121.523697,31.264570"
丹阳路,"121.531723,31.253173"
云台路,"121.500439,31.182212"
高科西路,"121.509845,31.185761"
虹桥路,"121.420814,31.197524"
金汇路,"121.376219,31.174382"
耀华路,"121.494605,31.178513"
上海体育馆,"121.437423,31.182813"
同济大学,"121.506357,31.282086"
江浦路,"121.518379,31.274946"
大柏树,"121.483216,31.289433"
长清路,"121.487775,31.174452"
上海游泳馆,"121.441424,31.179123"
真如,"121.407219,31.250767"
宜山路,"121.427194,31.186717"
昌邑路,"121.540751,31.244225"
后滩,"121.473756,31.171918"
大华三路,"121.422949,31.274047"
华泾,"121.456665,31.124356"
民生路,"121.543527,31.235851"
龙华,"121.452958,31.172672"
淞南,"121.465302,31.341402"
娄山关路,"121.404058,31.211158"
漕溪路,"121.438410,31.176746"
宋园路,"121.412080,31.196540"
杨高南路,"121.525087,31.187566"
上海科技馆,"121.544439,31.218820"
宁国路,"121.532352,31.268574"
汶水路,"121.450251,31.292556"
抚顺路,"121.515622,31.284086"
林浦,"121.478401,31.117109"
成山路,"121.496326,31.170511"
航东路,"121.360460,31.168180"
杨高中路,"121.548664,31.227510"
长风公园,"121.396269,31.223965"
梅岭北路,"121.396986,31.244844"
国权路,"121.510024,31.289276"
云锦路,"121.458519,31.166488"
龙漕路,"121.444383,31.169458"
铜川路,"121.397436,31.250763"
黄兴路,"121.528401,31.278814"
大渡河路,"121.394431,31.231752"
伊犁路,"121.403899,31.198880"
姚虹路,"121.409074,31.191451"
东明路,"121.510868,31.172646"
吴中路,"121.413461,31.186788"
复旦大学,"121.500319,31.295575"
迎春路,"121.551313,31.220216"
北洋泾路,"121.552314,31.239145"
上海西站,"121.400926,31.262693"
行知路,"121.421493,31.284942"
歇浦路,"121.551222,31.250417"
世纪公园,"121.550909,31.209421"
关港,"121.454136,31.106469"
红宝石路,"121.398482,31.199710"
兴梅路,"121.428963,31.110491"
漕宝路,"121.433143,31.168344"
华鹏路,"121.526567,31.176276"
锦绣路,"121.540041,31.187592"
龙耀路,"121.459702,31.159720"
杨思,"121.493443,31.161054"
芳甸路,"121.558431,31.231845"
桂林路,"121.418064,31.174791"
江湾镇,"121.485064,31.305566"
威宁路,"121.387285,31.214870"
隆昌路,"121.544692,31.275213"
水城路,"121.392259,31.199482"
芳华路,"121.550115,31.193110"
龙居路,"121.558478,31.256966"
真北路,"121.381948,31.232235"
彭浦新村,"121.448642,31.306604"
沪星路,"121.329702,31.165288"
石龙路,"121.443205,31.157949"
延吉中路,"121.534941,31.288543"
下南路,"121.540189,31.179295"
大场镇,"121.416548,31.293320"
东方体育中心,"121.480304,31.153366"
政立路,"121.496234,31.308016"
真光路,"121.384022,31.253335"
桂林公园,"121.419654,31.166986"
德平路,"121.564237,31.245400"
吴淞,"121.463074,31.373602"
花木路,"121.562754,31.211212"
李子园,"121.389969,31.269020"
江湾体育场,"121.513314,31.304293"
沪亭北路,"121.321318,31.168320"
高青路,"121.515787,31.159907"
车沟桥,"121.459275,31.085797"
黄兴公园,"121.533383,31.295389"
武威东路,"121.391393,31.276339"
爱国路,"121.552655,31.279788"
芳芯路,"121.559112,31.191928"
沪青平公路,"121.308877,31.173264"
灵岩南路,"121.495295,31.148665"
北蔡,"121.552017,31.180131"
会卓路,"121.303992,31.180088"
古浪路,"121.391986,31.282605"
虹漕路,"121.410553,31.164033"
北新泾,"121.373998,31.216395"
三门路,"121.508340,31.313214"
唐镇,"121.656269,31.214107"
龙溪路,"121.380034,31.194400"
云山路,"121.572775,31.250413"
上南路,"121.506151,31.149030"
真新新村,"121.373672,31.255058"
场中路,"121.413661,31.303685"
八字桥,"121.453476,31.389982"
漕河泾开发区,"121.397769,31.170644"
陈翔公路,"121.306723,31.306573"
殷高西路,"121.484856,31.320005"
北中路,"121.560931,31.183895"
华夏西路,"121.514539,31.149878"
翔殷路,"121.531974,31.305002"
国展北,"121.288163,31.199166"
共康路,"121.447063,31.318936"
祁连山南路,"121.367275,31.237625"
复兴岛,"121.561315,31.280779"
蓝天路,"121.577978,31.241017"
殷高路,"121.495576,31.320640"
凌兆新村,"121.489663,31.141301"
陈家桥,"121.460959,31.066631"
祁连山路,"121.376035,31.271650"
金丰路,"121.278608,31.209899"
陈春路,"121.557708,31.174756"
纪宏路,"121.275430,31.216047"
创新中路,"121.673713,31.213871"
联友路,"121.272657,31.221456"
殷高东路,"121.506797,31.321768"
三林,"121.511594,31.143172"
祁安路,"121.386066,31.291429"
三林东,"121.522999,31.146459"
纪王,"121.269117,31.228327"
虹梅路,"121.397250,31.160350"
金桥路,"121.581817,31.257084"
华东理工大学,"121.429246,31.142011"
嫩江路,"121.531954,31.314804"
淞虹路,"121.359588,31.218212"
上海动物园,"121.368137,31.190246"
华夏东路,"121.680972,31.196575"
浦三路,"121.539005,31.150861"
曹安公路,"121.360755,31.256103"
合川路,"121.384772,31.166542"
上大路,"121.408580,31.315071"
新江湾城,"121.506951,31.328496"
黄杨路,"121.590982,31.234299"
丰庄,"121.355141,31.242553"
长江南路,"121.491482,31.332062"
莲溪路,"121.566414,31.169110"
博兴路,"121.586689,31.263520"
锦江乐园,"121.414107,31.142217"
吴泾,"121.467619,31.044052"
康宁路,"121.427967,31.327241"
东兰路,"121.391915,31.155823"
张江高科,"121.587687,31.201832"
武威路,"121.364678,31.276646"
通河新村,"121.441546,31.331130"
龙柏新村,"121.370480,31.176882"
南大路,"121.380348,31.299361"
市光路,"121.531933,31.322724"
东陆路,"121.579124,31.282533"
罗秀路,"121.435868,31.131664"
广南路,"121.468709,31.038146"
爱辉路,"121.452695,31.336064"
川沙,"121.698210,31.186741"
五莲路,"121.587866,31.272025"
通南路,"121.477815,31.339637"
台儿庄路,"121.597458,31.252825"
江杨南路,"121.464955,31.340723"
红枫路,"121.599828,31.237018"
丰翔路,"121.381010,31.308335"
南陈路,"121.398863,31.321437"
紫东,"121.470056,31.028927"
华夏中路,"121.583109,31.175759"
巨峰路,"121.588365,31.280684"
紫藤路,"121.364831,31.169674"
嘉怡路,"121.346512,31.258970"
御桥,"121.570914,31.158131"
呼兰路,"121.437711,31.339703"
朱梅路,"121.438291,31.122500"
金科路,"121.601989,31.204213"
国帆路,"121.513430,31.340527"
顾戴路,"121.391856,31.140890"
上海大学,"121.388884,31.320586"
芦恒路,"121.497842,31.119015"
星中路,"121.368903,31.158109"
东靖路,"121.588736,31.290684"
淞发路,"121.500390,31.345135"
凌空路,"121.724095,31.192861"
永平路,"121.431144,31.017307"
锦秋路,"121.381721,31.319169"
莲花路,"121.402910,31.130900"
金沙江西路,"121.335156,31.241152"
航中路,"121.355336,31.165417"
杨高北路,"121.602960,31.280092"
浦东足球场,"121.614549,31.241468"
金桥,"121.611336,31.260850"
五洲大道,"121.589212,31.302569"
华泾西,"121.440470,31.112182"
虹莘路,"121.380348,31.137448"
中科路,"121.602465,31.178862"
祁华路,"121.373569,31.322315"
临洮路,"121.331024,31.263116"
沪南公路,"121.567358,31.134561"
远东大道,"121.755301,31.199385"
共富新村,"121.434063,31.355082"
洲海路,"121.589396,31.312229"
广兰路,"121.621072,31.211050"
张华浜,"121.498671,31.358016"
罗山路,"121.593152,31.153259"
外环路,"121.393020,31.120899"
学林路,"121.614363,31.183476"
七宝,"121.349221,31.155287"
金京路,"121.615477,31.279823"
金运路,"121.319308,31.240986"
虹梅南路,"121.431592,31.103461"
金粤路,"121.628022,31.242132"
双江路,"121.538018,31.353984"
金吉路,"121.628479,31.264309"
高桥西,"121.552002,31.351650"
七莘路,"121.362464,31.131638"
浦江镇,"121.506272,31.096590"
景西路,"121.420417,31.100091"
乐秀路,"121.313820,31.265353"
桂桥路,"121.634885,31.252828"
申江路,"121.626863,31.280231"
张江路,"121.629182,31.189130"
淞滨路,"121.492818,31.370928"
中春路,"121.337700,31.149415"
莘庄,"121.385373,31.111152"
宝安公路,"121.430914,31.369555"
秀沿路,"121.598390,31.138128"
海天三路,"121.796878,31.168459"
周浦,"121.567615,31.113958"
南翔,"121.323141,31.296952"
高桥,"121.564390,31.352704"
金海路,"121.638629,31.263141"
航津路,"121.593974,31.335371"
曙建路,"121.417177,31.091809"
港城路,"121.574752,31.353005"
