name,location
西单,"116.374072,39.907383"
回龙观,"116.336116,40.070800"
北京西站,"116.321262,39.894763"
西直门,"116.355426,39.940474"
长阳,"116.212692,39.763871"
天安门东,"116.401216,39.907780"
天宫院,"116.319932,39.670342"
北京站,"116.427287,39.904983"
天通苑,"116.412890,40.075248"
沙河,"116.288865,40.148278"
北京南站,"116.379008,39.865012"
五道口,"116.337742,39.992894"
西二旗,"116.306295,40.053034"
T3航站楼,"116.615579,40.052544"
国贸,"116.461841,39.909104"
土桥,"116.686349,39.871926"
十里河,"116.457983,39.866417"
苹果园,"116.178314,39.925829"
五棵松,"116.273987,39.907456"
潞城,"116.747434,39.902652"
望京,"116.469409,39.998521"
金鱼胡同,"116.411057,39.915281"
王府井,"116.411571,39.908069"
中国美术馆,"116.410803,39.923705"
前门,"116.397937,39.900192"
崇文门,"116.417093,39.901063"
东单,"116.418480,39.908325"
天安门西,"116.391278,39.907472"
桥湾,"116.408464,39.892725"
珠市口,"116.398372,39.891334"
灯市口,"116.417783,39.917113"
磁器口,"116.419940,39.893172"
和平门,"116.384209,39.900098"
东四,"116.417493,39.924370"
虎坊桥,"116.384596,39.889486"
天桥,"116.398712,39.881920"
建国门,"116.435806,39.908501"
宣武门,"116.374314,39.899765"
广渠门内,"116.433877,39.893673"
天坛东门,"116.420833,39.882558"
潘家园西,"116.450872,39.876233"
灵境胡同,"116.373746,39.915912"
京广桥,"116.464455,39.918256"
菜市口,"116.374425,39.889296"
南锣鼓巷,"116.404192,39.933848"
核心区,"116.469547,39.909845"
朝阳门,"116.434584,39.924499"
光华路,"116.469555,39.913574"
张自忠路,"116.417156,39.933592"
西四,"116.373332,39.924206"
北海北,"116.386829,39.933247"
香河园,"116.442117,39.949568"
金融街,"116.363234,39.908627"
长椿街,"116.363355,39.899433"
什刹海,"116.396219,39.937583"
永安里,"116.450330,39.908472"
广渠门外,"116.448998,39.893648"
陶然亭,"116.374383,39.878470"
牛街,"116.363540,39.889253"
东四十条,"116.434133,39.933801"
北新桥,"116.416884,39.940782"
复兴门,"116.356866,39.907242"
永定门外,"116.399369,39.867435"
北京东站,"116.486026,39.902304"
平安里,"116.372883,39.933949"
陶然桥,"116.387167,39.868791"
广安门内,"116.358239,39.889418"
东大桥,"116.451657,39.923054"
景泰,"116.411026,39.865250"
南礼士路,"116.352583,39.907234"
蒲黄榆,"116.423720,39.865621"
阜成门,"116.356009,39.923686"
慈云寺桥,"116.493659,39.915573"
东直门,"116.435842,39.941626"
安定门,"116.408240,39.949180"
工人体育场,"116.450366,39.933758"
金台夕照,"116.461743,39.916838"
鼓楼大街,"116.393776,39.948972"
雍和宫,"116.417069,39.949336"
木樨园,"116.399839,39.859262"
新街口,"116.367742,39.940667"
双井,"116.463738,39.893352"
呼家楼,"116.461618,39.923337"
方庄,"116.440244,39.865868"
车公庄,"116.354357,39.932397"
劲松,"116.461325,39.884387"
刘家窑,"116.422119,39.857521"
积水潭,"116.373126,39.948653"
广渠路,"116.508662,39.893076"
广渠东路,"116.508774,39.887362"
景风门,"116.365805,39.862723"
木樨地,"116.337583,39.907379"
团结湖,"116.461806,39.933747"
潘家园,"116.460926,39.875387"
安德里北街,"116.395145,39.957227"
海户屯,"116.400301,39.851805"
十八里店,"116.484631,39.848390"
大望路,"116.475783,39.908287"
车公庄西,"116.344082,39.932466"
和平里北街,"116.418504,39.958734"
达官营,"116.336455,39.889884"
玉渊潭东门,"116.334550,39.915044"
农业展览馆,"116.461724,39.941344"
红庙,"116.478064,39.915605"
柳芳,"116.432728,39.958157"
甘家口,"116.334640,39.923020"
九龙山,"116.478695,39.893222"
马家堡,"116.371361,39.853109"
西铁营,"116.354360,39.861117"
平乐园,"116.477307,39.885275"
金台路,"116.478115,39.923556"
红莲南里,"116.336977,39.877629"
石榴庄,"116.414103,39.845905"
菜户营,"116.344609,39.868062"
甘露园,"116.525697,39.917245"
朝阳港,"116.494624,39.844026"
大红门,"116.399154,39.845383"
动物园,"116.339031,39.938250"
二里沟,"116.333721,39.931855"
湾子,"116.327753,39.889954"
角门东,"116.385649,39.845135"
宋家庄,"116.428368,39.845849"
亮马桥,"116.461794,39.949415"
北工大西门,"116.477318,39.875437"
朝阳公园,"116.478291,39.933492"
安贞桥,"116.407446,39.968916"
白堆子,"116.325762,39.923818"
安华桥,"116.394655,39.968507"
和平西桥,"116.417975,39.968386"
军事博物馆,"116.321459,39.907422"
角门西,"116.371154,39.845850"
大郊亭,"116.487935,39.893183"
丽泽商务区,"116.336174,39.867957"
分钟寺,"116.453976,39.852227"
马甸,"116.380788,39.968193"
枣营,"116.474947,39.944132"
光熙门,"116.431761,39.968337"
西坝河,"116.441541,39.966297"
白石桥南,"116.325680,39.933022"
成寿寺,"116.447531,39.845874"
北太平庄,"116.370131,39.967898"
大红门南,"116.401045,39.836715"
四惠,"116.495456,39.908749"
三元桥,"116.456997,39.961508"
六里桥东,"116.315024,39.887125"
安贞门,"116.405954,39.977005"
百子湾,"116.497768,39.892530"
国家图书馆,"116.325190,39.943114"
草桥,"116.351387,39.845869"
北土城,"116.394193,39.976953"
惠新西街南口,"116.417537,39.977121"
莲花桥,"116.310347,39.897867"
公主坟,"116.309919,39.907469"
蓟门桥,"116.354661,39.967710"
公益西桥,"116.370796,39.836135"
健德门,"116.381353,39.976723"
东管头,"116.321051,39.867878"
太阳宫,"116.447469,39.972678"
芍药居,"116.435914,39.977636"
十里堡,"116.502045,39.923076"
牡丹园,"116.369844,39.976603"
定福庄,"116.560938,39.915990"
大钟寺,"116.345139,39.966612"
田村,"116.252914,39.929503"
化工,"116.503439,39.887369"
石佛营,"116.498326,39.935073"
花园桥,"116.310683,39.932340"
肖村,"116.448364,39.834217"
南楼梓庄,"116.501084,39.874578"
奥体中心,"116.393759,39.985837"
黄厂,"116.553759,39.848979"
东风北桥,"116.485919,39.958375"
西土城,"116.354098,39.976549"
纪家庙,"116.333381,39.844433"
欢乐谷景区,"116.500067,39.866505"
魏公村,"116.323220,39.957904"
六里桥,"116.302808,39.880239"
惠新西街北口,"116.417028,39.987836"
丰益桥南,"116.320261,39.852998"
西钓鱼台,"116.298064,39.923481"
万寿路,"116.294765,39.907474"
四惠东,"116.515664,39.908495"
万寿寺,"116.309864,39.947950"
郎辛庄,"116.569826,39.856496"
西局,"116.303819,39.866770"
知春路,"116.339960,39.976476"
小红门,"116.459226,39.827951"
芳园里,"116.479322,39.972039"
青年路,"116.517429,39.923168"
慈寿寺,"116.295467,39.933268"
首经贸,"116.320202,39.844463"
人民大学,"116.321367,39.966956"
廖公庄,"116.227292,39.932422"
星火,"116.508638,39.947098"
和义,"116.402073,39.814838"
泥洼,"116.304173,39.858609"
学院桥,"116.353473,39.986883"
北神树,"116.552619,39.820598"
将台,"116.489496,39.971109"
知春里,"116.328709,39.976334"
新发地,"116.346281,39.823792"
垡头,"116.511821,39.860728"
七里庄,"116.294292,39.866773"
苏州桥,"116.307951,39.963190"
丰台站,"116.304540,39.849639"
车道沟,"116.293818,39.947923"
清河,"116.314797,40.041090"
高碑店,"116.531421,39.909448"
望京西,"116.449884,39.995724"
新宫,"116.365549,39.812592"
安立路,"116.407845,40.002619"
海淀黄庄,"116.317564,39.975996"
奥林匹克公园,"116.391758,40.002207"
关庄,"116.430947,40.001134"
黑庄户,"116.599119,39.858725"
望京南,"116.481634,39.984634"
高家园,"116.488543,39.980572"
丰台东大街,"116.293857,39.855111"
西黄村,"116.206932,39.933605"
大屯路东,"116.417377,40.003841"
四环路,"116.320472,39.829174"
东高地,"116.409427,39.805074"
阜通,"116.471740,39.991699"
长春桥,"116.294255,39.958527"
北沙滩,"116.368143,40.001492"
海淀五路居,"116.276531,39.932584"
次渠北,"116.575841,39.810528"
双合,"116.526836,39.859691"
苏州街,"116.306332,39.975642"
六道口,"116.352670,40.000958"
中关村,"116.316467,39.983991"
体育中心,"116.530109,39.948907"
丰台南路,"116.296748,39.840444"
森林公园南门,"116.392600,40.010122"
火箭万源,"116.418627,39.799287"
酒仙桥,"116.504206,39.980450"
大井,"116.276061,39.865226"
旧宫,"116.460789,39.806910"
远大路,"116.282829,39.957110"
火器营,"116.289058,39.965938"
四季青,"116.274599,39.946104"
清华东路西口,"116.339530,40.000673"
科怡路,"116.297432,39.832480"
樊羊路,"116.314319,39.819550"
巴沟,"116.293362,39.974408"
北京大学东门,"116.315842,39.992212"
永顺,"116.637779,39.906011"
万盛西,"116.632160,39.863328"
焦化厂,"116.537247,39.855488"
万泉河桥,"116.300951,39.985624"
传媒大学,"116.554639,39.909215"
富丰桥,"116.285798,39.836150"
丰台科技园,"116.297176,39.825233"
东湖渠,"116.467412,40.010670"
望京东,"116.487105,40.003200"
玉泉路,"116.252888,39.907433"
亦庄桥,"116.480307,39.803011"
学清路,"116.352106,40.015273"
平房村,"116.547040,39.950520"
亦庄文化园,"116.490632,39.806890"
林萃桥,"116.372998,40.021906"
圆明园,"116.310186,39.999662"
郭公庄,"116.301889,39.814322"
五福堂,"116.423903,39.785046"
亦庄站前区南,"116.609407,39.794407"
北关,"116.661200,39.913109"
万盛东,"116.657379,39.863491"
看丹,"116.272750,39.834950"
北岗子,"116.537208,39.975898"
褡裢坡,"116.563961,39.924021"
郭庄子,"116.253068,39.864841"
东坝中街,"116.547126,39.965732"
来广营,"116.466994,40.020588"
北苑路北,"116.418089,40.030436"
运河商务中心,"116.671543,39.915123"
万源街,"116.505446,39.802921"
西苑,"116.290908,39.998258"
群芳,"116.670792,39.863515"
西红门,"116.328689,39.789800"
八宝山,"116.235948,39.907440"
勇士营,"116.441678,40.032471"
大葆台,"116.291681,39.807810"
榆树庄,"116.258841,39.839114"
双桥,"116.576760,39.910140"
高楼金,"116.684340,39.863154"
东风,"116.553278,39.975761"
善各庄,"116.478195,40.027160"
黄渠,"116.578266,39.924201"
大瓦窑,"116.240480,39.859470"
颐和园西门,"116.263248,39.985697"
德茂,"116.441467,39.772649"
崔各庄,"116.492968,40.022201"
立水桥南,"116.414496,40.041956"
上清桥,"116.343524,40.034952"
北宫门,"116.277647,40.002373"
永泰庄,"116.354580,40.037728"
副中心,"116.703931,39.903186"
